,price
1488,32.75017
1489,32.55923
1490,32.47397
1491,33.63505
1492,38.57822
1493,45.04124
1494,56.34055
1495,37.31787
1496,29.13198
1497,25.55439
1498,19.01445
1499,13.90515
1500,7.72703
1501,5.68162
1502,9.7829
1503,18.34151
1504,35.01572
1505,52.26979
1506,63.22217
1507,58.73541
1508,52.69666
1509,48.18946
1510,43.45641
1511,39.97646
1512,34.27371
1513,32.74246
1514,32.66766
1515,32.9734
1516,35.79247
1517,44.77746
1518,52.75015
1519,36.91613
1520,30.00377
1521,28.28611
1522,25.9372
1523,22.18292
1524,18.63623
1525,18.62778
1526,22.98215
1527,26.84898
1528,35.37877
1529,51.12934
1530,61.44786
1531,52.39899
1532,47.95886
1533,45.81963
1534,39.56173
1535,37.85766
1536,35.5861
1537,34.85378
1538,32.25631
1539,32.30401
1540,33.42395
1541,39.85325
1542,39.3523
1543,33.54171
1544,23.07538
1545,17.94815
1546,27.05497
1547,12.57363
1548,6.1022
1549,4.72845
1550,1.38513
1551,6.13146
1552,24.80912
1553,48.1727
1554,56.38894
1555,51.31168
1556,47.56135
1557,46.52699
1558,40.17066
1559,35.18234
1560,36.2971
1561,33.75771
1562,34.05528
1563,33.68445
1564,35.44697
1565,40.97742
1566,43.14674
1567,35.23506
1568,32.32117
1569,28.80723
1570,26.78405
1571,21.9183
1572,19.54257
1573,20.13053
1574,18.40613
1575,21.71778
1576,32.60903
1577,47.27737
1578,59.11999
1579,49.26539
1580,45.84791
1581,43.59182
1582,37.09922
1583,34.68933
1584,31.95498
1585,31.35519
1586,30.82448
1587,31.07189
1588,33.28429
1589,38.5859
1590,54.36173
1591,39.17726
1592,31.58191
1593,25.53303
1594,16.23122
1595,14.61579
1596,11.42546
1597,10.98721
1598,15.92847
1599,23.71137
1600,35.99774
1601,49.82501
1602,67.15418
1603,55.43161
1604,49.78005
1605,45.59971
1606,38.70019
1607,35.10198
1608,37.272
1609,34.70011
1610,32.83556
1611,32.69227
1612,33.63619
1613,41.75358
1614,50.91769
1615,42.55178
1616,34.12133
1617,26.25849
1618,18.19936
1619,20.65064
1620,15.54519
1621,22.8222
1622,21.27517
1623,26.69731
1624,36.5927
1625,47.4729
1626,63.78443
1627,55.56471
1628,47.76949
1629,45.09703
1630,43.18606
1631,38.45001
1632,32.64019
1633,32.20927
1634,32.10754
1635,32.6787
1636,36.2371
1637,42.42776
